segment_id,start,end,text,avg_logprob
0,0.14,7.94,A military parade at the height of a modern army that has impressed the heights of Algeria by a great mastery and an outstanding discipline.,-0.2999116606437243
1,8.66,15.28,"In a speech, the President of the Republic, Abdel-Majid Abouna, said that the commemoration of this memorable anniversary,",-0.2999116606437243
2,15.56,22.28,"embodying glory, dignity and pride, is the opportunity to remind that Algeria, which triumphed from colonialism yesterday,",-0.2999116606437243
3,22.78,26.38,continues to achieve victories with all confidence thanks to its children.,-0.2999116606437243
4,26.38,32.42,"The parade began with the overflight of an air formation composed of L-39 aircraft,",-0.43548071244183706
5,32.76,37.2,air forces that decorated the sky of the capital with national colors.,-0.43548071244183706
6,37.68,42.16,"100 air demonstrations were followed by advanced training aircraft,",-0.43548071244183706
7,42.98,46.38,Yak-130s and air force executions.,-0.43548071244183706
8,46.78,52.88,"In a demonstration of refueling in flight of two Su-24 aircraft by a refueling aircraft,",-0.43548071244183706
9,52.88,57.9,"escorted by four MiG-29 aircraft and the training parade of several helicopters,",-0.3237916130659192
10,59.02,64.48,"including those specialized in reconnaissance and provisioning and training of three drones,",-0.3237916130659192
11,65.26,69.24,"also participated in this military parade, the square of the different formations.",-0.3237916130659192
12,70.26,74.72,Fighting vehicle formations also took to the lead tanks of different types.,-0.3237916130659192
13,75.38,79.84,The President of the Republic and his hosts have long applauded the impressive performance,-0.3237916130659192
14,79.84,82.84,"and the remarkable development of the Army of Independent Algeria,",-0.2636638584889864
15,83.72,85.8,an army loyal to the November Sermon.,-0.2636638584889864
16,86.34,90.42,The parade allowed to immortalize the epic of November 1954,-0.2636638584889864
17,90.42,94.34,"and to galvanize the energies for a victorious Algeria,",-0.2636638584889864
18,94.5,99.78,as dreamed by the Shuhada and the Mujahideen of the glorious Revolution of Liberation.,-0.2636638584889864
19,100.18,105.26,"A large crowd attended the parade, which was marked by a rigorous organization.",-0.2636638584889864
